component_id,tab_name,section,component_type,component_title,data_source,attribute,graph_type,calculation,display_format,visual_properties,axis_formats,value_modifiers,custom_layout,order,tab_order,width,card_style,header_style,hover_data,animation_frame,facet_col,conditional_formatting,column_formats,is_collapsible,default_collapsed,tooltip
1,Executive Summary,Value Proposition,metric_card,Net Present Value (Energy Only),scalar_results.csv,npv,,,"${:,.0f}",,,,,1,1,quarter,,,,,,,,,,Net present value
2,Executive Summary,Value Proposition,metric_card,NPV with FCAS and LREC,scalar_results.csv,NPV with FCAS and LREC,,,"${:,.0f}",,,,,2,1,quarter,,,,,,,,,,NPV with FCAS and REC
3,Executive Summary,Value Proposition,metric_card,Payback Period Energy Only,scalar_results.csv,payback,,,{:.1f} years,,,,,3,1,quarter,,,,,,,,,,Payback period energy only
4,Executive Summary,Value Proposition,metric_card,Payback Period with FCAS and LREC (years),scalar_results.csv,Precise Payback Period with FCAS and LREC (years),,,{:.1f} years,,,,,4,1,quarter,,,,,,,,,,Payback period inc FCAS & RECs
5,Executive Summary,Performance,table,Key Financial Metris,scalar_results.csv|cashflow_timeseries.parquet|scalar_results.csv|scalar_results.csv|scalar_results.csv|scalar_results.csv|scalar_results.csv|scalar_results.csv|scalar_results.csv,total_cost|cf_energy_value|Total FCAS Revenue|Total LREC revenue|savings_year1|annual_lrec_value|WACC|lcoe_real|lcos_real,,|sum|||||||,"${:,.0f}|${:,.0f}|${:,.0f}|${:,.0f}|${:,.0f}|${:,.0f}|{:.2%}|c{:.1f}/kWh|c{:.1f}/kWh","{'pageSize': 10, 'height': 400}",,,"{""metricTitles"": {""total_cost"":""Total Project Cost"",""cf_energy_value"":""Total Energy Savings"",""Total FCAS revenue"":""Total FCAS Revenue"",""Total LREC revenue"":""Total RECs Revenue"",""savings_year1"": ""Year 1 Savings"",""annual_lrec_value"":""Annual LRECs Revenue (year1)"",""WACC"":""WACC"",""lcoe_real"":""LCOE (real)"",""lcos_real"":""LCOS (real)""}}",1,1,half,,,,,,,,,,Comprehensive breakdown of all revenue sources over project lifetime
6,Executive Summary,Performance,table,Energy Overview,scalar_results.csv,annual_subarray1_dc_gross|batt_year1_charge_from_grid|batt_grid_charge_percent|batt_year1_charge_from_system|batt_system_charge_percent|capacity_factor|kwh_per_kw|average_battery_roundtrip_efficiency,table,,"{:,.0f} kWh|{:,.0f} kWh|{:.2f}%|{:,.0f} kWh|{:.2f}%|{:.2f}%|{:,.0f} kWh/kW|{:.2f}%|{:.2f}%","{'pageSize': 10, 'height': 350}",,,"{""metricTitles"": {""annual_subarray1_dc_gross"": ""Year 1 Generation"", ""batt_year1_charge_from_grid"": ""Year 1 Battery Charge from Grid"",""batt_grid_charge_percent"":""Grid Charge %"", ""batt_year1_charge_from_system"": ""Year 1 Battery Charge from System"",""batt_system_charge_percent"":""System Charge %"", ""capacity_factor"":""Capacity Factor"",""kwh_per_kw"":"" Energy Yield"",""average_battery_roundtrip_efficiency"":""Roundtrip Efficiency""}}",2,1,half,,,,,,,,,,Key energy production and consumption indicators with performance targets
7,Executive Summary,System Flow,graph,PV System Flow,monthly_timeseries.parquet,monthly_dc|monthly_system_to_load|monthly_system_to_grid|monthly_system_to_batt,area,,"{:,.0f} kWh",{"height": 400},,,"{""metricTitles"": {""monthly_dc"": ""Solar Gen"", ""monthly_system_to_load"": ""Gen to Load"", ""monthly_system_to_grid"": ""Gen to Grid"", ""monthly_system_to_batt"": ""Gen to Batt""}}",1,1,half,,,,,,,,,,PV system visualisation
8,Executive Summary,System Flow,graph,Battery System Flow,monthly_timeseries.parquet,monthly_batt_to_load|monthly_batt_to_grid|monthly_grid_to_batt|monthly_system_to_batt,area,,"{:,.0f} kWh",{"height": 400},,negative|negative|positive|positive,"{""metricTitles"": {""monthly_batt_to_load"": ""Batt to Load"", ""monthly_batt_to_grid"": ""Batt to Grid"", ""monthly_grid_to_batt"": ""Grid to Batt"", ""monthly_system_to_batt"": ""Gen to Batt""}}",2,1,half,,,,,,,,,,Battery system visualisation
9,Financial Results,Project Economics,metric_card,Net Present Value,scalar_results.csv,npv,,,"${:,.0f}",,,,,1,2,quarter,{},,,,,,,,,Project NPV in real terms
10,Financial Results,Project Economics,metric_card,Net Present Value (inc FCAS + RECS),scalar_results.csv,NPV with FCAS and LREC,,,"${:,.0f}",,,,,2,2,quarter,,,,,,,,,,Project NPV inc FCAS
11,Financial Results,Project Economics,metric_card,WACC,scalar_results.csv,WACC,,,{:.2%},,,,,3,2,quarter,,,,,,,,,,Weighted average cost of capital
